"a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30"
"0","0","0","1","1","1","1","1","1","1","1","3","3","3","3","3"
"0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3"
"0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","1","1","1","1","1","1","3","6","6","6","6"
"0","0","0","0","0","0","0","4","4","5","5","5","5","5","5","5"
"0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3"
"0","0","0","0","1","1","1","1","1","3","6","6","6","6","6","6"
"0","0","0","0","3","6","6","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2"
"0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2"
"0","0","0","0","0","0","0","0","0","0","3","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2"
"0","0","0","0","0","0","0","1","1","1","1","1","1","3","3","3"
"0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3"
"0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2"
"0","0","0","0","0","0","0","1","1","1","1","1","6","6","6","6"
"0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2"
"0","0","0","0","0","0","0","0","0","3","3","3","3","6","6","6"
"0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","6"
"0","0","1","1","1","1","1","1","6","6","6","6","6","6","6","6"
"0","0","0","0","0","3","3","3","3","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","1","1","6","6","6"
"0","0","0","0","0","0","0","0","1","1","3","3","3","3","3","6"
"0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","1","3","3","3","3","3"
"0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2"
"0","0","0","0","0","0","3","3","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6"
"0","0","0","0","0","0","1","1","1","1","1","1","1","3","3","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","1","1","1","1","1","1","1","3","3","3","3"
"0","0","0","0","0","0","0","1","1","1","1","3","3","3","3","3"
"0","0","0","0","0","0","0","3","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","3","6","6","6","6","6","6","6"
"0","0","1","1","1","1","3","3","3","3","3","3","3","3","3","3"
"0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","3","3","3","3","3","7","7","7","7","7","7","7"
"0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","6"
"0","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3"
"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","1","1","1","1","1","1","1","1","1","5","5","5","5","5"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3"
"0","0","0","0","0","0","0","3","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","1","1","1","1","1","1","3","3","3","3"
"0","1","1","1","1","1","1","1","3","3","3","6","6","6","6","6"
"0","0","0","0","0","0","3","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6"
"0","0","0","0","0","1","1","1","1","3","3","3","3","3","3","6"
"0","0","0","0","0","0","0","0","0","1","1","1","1","3","3","3"
"0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"0","1","1","1","1","1","1","1","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","1","1","1","1","1","3","6","6"
"0","0","0","0","0","0","0","0","0","0","1","3","6","6","6","6"
"1","1","1","1","1","1","3","3","3","3","3","3","3","7","7","7"
"0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3"
"0","0","0","0","0","1","1","1","1","1","1","3","3","6","6","6"
"0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","3"
"0","0","0","0","0","0","3","3","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3"
"0","0","0","0","6","6","6","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6"
"0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2"
"0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","3"
"0","0","0","0","0","0","0","0","1","1","1","6","6","6","6","6"
"0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3"
"0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3"
"0","0","0","0","0","1","1","1","1","1","1","1","3","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","3","6","6","6","6","6","6","6"
"0","0","0","0","0","1","1","1","1","1","3","3","3","3","3","3"
"0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"0","0","1","1","1","1","3","6","6","6","6","6","6","6","6","6"
"0","0","1","1","1","1","1","1","1","1","1","1","3","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","2","2","3","3","6","6","6","6","6","6","6"
"0","0","0","0","0","0","3","3","6","6","6","6","6","6","6","6"
"0","1","1","1","1","1","1","3","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","6"
"0","0","0","0","3","6","6","6","6","6","6","6","6","6","6","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","6"
"0","0","0","0","0","0","0","0","0","0","1","1","3","6","6","6"
